userId,title,rating,timestamp
1,American Pie,4.0,1260759139
4,American Pie,4.0,949896114
15,American Pie,4.0,1052896867
30,American Pie,2.0,994439964
34,American Pie,4.0,973747765
35,American Pie,3.5,1174450064
41,American Pie,5.0,1093886731
49,American Pie,3.0,978039891
59,American Pie,1.0,1144756192
73,American Pie,3.0,1255500870
77,American Pie,4.0,1163277609
95,American Pie,3.0,1025556197
102,American Pie,3.0,959976680
119,American Pie,3.0,913233215
130,American Pie,4.0,1139000088
185,American Pie,3.0,1003523848
195,American Pie,3.0,975416589
197,American Pie,5.0,975429167
212,American Pie,3.0,1260704942
214,American Pie,4.0,946919102
232,American Pie,5.0,955088291
257,American Pie,1.0,1338006947
285,American Pie,3.0,965088605
287,American Pie,4.0,1470169326
294,American Pie,3.5,1082753253
312,American Pie,4.0,959935514
328,American Pie,3.0,1148006461
346,American Pie,5.0,1044651104
363,American Pie,3.0,942346590
380,American Pie,4.0,950073603
401,American Pie,4.0,977459163
461,American Pie,2.5,1091959217
463,American Pie,4.0,1049913977
468,American Pie,3.0,1296196844
470,American Pie,3.0,1232976259
497,American Pie,1.0,940364200
509,American Pie,3.0,940014855
518,American Pie,3.0,945362480
525,American Pie,4.0,1024929048
533,American Pie,4.0,965315212
561,American Pie,4.5,1172694596
564,American Pie,4.0,974716363
575,American Pie,4.0,1012597811
577,American Pie,4.0,1111475982
580,American Pie,4.0,1167160214
624,American Pie,4.0,1019124493
654,American Pie,3.5,1145392609
1,Jay and Silent Bob Strike Back,2.0,1260759108
5,Jay and Silent Bob Strike Back,4.0,1163373251
9,Jay and Silent Bob Strike Back,2.0,938629250
15,Jay and Silent Bob Strike Back,2.0,1052897012
48,Jay and Silent Bob Strike Back,3.0,1322170922
73,Jay and Silent Bob Strike Back,3.5,1255502070
95,Jay and Silent Bob Strike Back,4.0,1025556197
105,Jay and Silent Bob Strike Back,3.5,1085579021
130,Jay and Silent Bob Strike Back,3.0,1139000084
150,Jay and Silent Bob Strike Back,2.5,1114309081
185,Jay and Silent Bob Strike Back,3.0,1019787081
190,Jay and Silent Bob Strike Back,3.0,975693159
193,Jay and Silent Bob Strike Back,4.0,971215478
195,Jay and Silent Bob Strike Back,4.0,975763070
212,Jay and Silent Bob Strike Back,2.5,1218955199
